NaN,0.36364,0.15385,0.36364,NaN,0.48276,0.28571
0.36364,0.21053,0.15385,0.94118,0.54545,0.95238,0.63636
0.47059,0.4,0.15385,0.93333,0.76923,0.90909,0.30769
0.75,0.5,0.85714,0.55556,0.93333,1,0.44444
0.875,0.69565,1,0.875,0.73684,0.88889,0.22222
0.55556,0.72727,0.61538,0.70588,0.875,0.82353,NaN
NaN,0.85714,0.33333,0.93333,0.875,NaN,0.4
NaN,0.85714,0.875,0.88889,0.71429,NaN,0.76923
NaN,0.61538,NaN,0.94118,0.94118,NaN,1
NaN,NaN,NaN,NaN,NaN,0.43478,0.875
NaN,0.46154,NaN,0.66667,0.11111,0.61538,1
NaN,0.23077,NaN,0.5,NaN,0.61538,0.93333
NaN,0.45161,0.11765,0.28571,0.76923,0.76923,0.82353
NaN,0.84211,0.84211,0.4,0.69565,1,0.875
NaN,0.88889,NaN,0.33333,0.77778,0.93333,0.85714
NaN,0.73684,0.4,0.66667,0.57143,0.34783,0.36364
0.66667,1,0.42857,0.88889,0.875,0.70588,0.61538
NaN,0.8,0.44444,0.7619,0.85714,0.46154,0.36364
0.93333,0.66667,0.875,0.73684,0.625,0.28571,0.76923
0.6087,0.93333,0.7,0.73684,0.71429,0.42857,0.85714
0.6087,0.42857,0.77778,0.73684,0.875,0.70588,0.93333
0.44444,0.94118,NaN,0.52174,0.71429,0.46154,0.94118
0.46154,0.94118,NaN,0.72727,1,0.59259,0.82353
0.63636,0.94118,0.2,0.72727,0.85714,0.875,0.94118
0.59259,0.66667,0.15385,0.33333,0.8,0.46154,0.72727
0.59259,NaN,0.88889,1,0.94118,1,0.75
0.52174,0.52632,0.875,0.36364,0.88889,0.54545,NaN
NaN,0.73684,0.77778,0.94118,0.5,0.66667,0.55556
NaN,0.4,0.875,0.88889,0.7619,0.94118,0.69565
NaN,0.33333,0.76923,0.88889,0.8,0.66667,0.28571
